PDGid,WP,year,period,ptmin,ptmax,etamin,etamax,SF,SFerr
13,mediumID,2016,BCDEF,60,120,1.6,1.7,0.991003,0.0140888
13,mediumID,2016,BCDEF,60,120,1.7,2,0.98342,0.00621563
13,mediumID,2016,BCDEF,60,120,2,2.1,0.9705,0.0118183
13,mediumID,2016,BCDEF,60,120,2.1,2.2,0.907851,0.0152616
13,mediumID,2016,BCDEF,60,120,2.2,2.3,0.965632,0.0197334
13,mediumID,2016,BCDEF,60,120,2.3,2.4,0.991361,0.0159594
PDGid,WP,year,period,ptmin,ptmax,etamin,etamax,SF,SFerr
13,mediumID,2016,GH,20,25,-2.4,-2.3,0.997282,0.0141255
13,mediumID,2016,GH,20,25,-2.3,-2.2,0.991008,0.0101649
13,mediumID,2016,GH,20,25,-2.2,-2.1,0.939375,0.0118497
13,mediumID,2016,GH,20,25,-2.1,-2,0.986974,0.009555
13,mediumID,2016,GH,20,25,-2,-1.7,0.983166,0.00679337
13,mediumID,2016,GH,20,25,-1.7,-1.6,1.00431,0.00305593
13,mediumID,2016,GH,20,25,-1.6,-1.5,0.997992,0.00768673
13,mediumID,2016,GH,20,25,-1.5,-1.4,1.00245,0.00365174
13,mediumID,2016,GH,20,25,-1.4,-1.2,1.00716,0.00789441
13,mediumID,2016,GH,20,25,-1.2,-0.8,0.994679,0.010705
13,mediumID,2016,GH,20,25,-0.8,-0.5,0.996229,0.00713348
13,mediumID,2016,GH,20,25,-0.5,-0.3,1.00528,0.00368124
13,mediumID,2016,GH,20,25,-0.3,-0.2,0.991293,0.0125527
13,mediumID,2016,GH,20,25,-0.2,0,0.98324,0.0122988
13,mediumID,2016,GH,20,25,0,0.2,1.00344,0.0149566
13,mediumID,2016,GH,20,25,0.2,0.3,0.992968,0.0122384
13,mediumID,2016,GH,20,25,0.3,0.5,1.00764,0.0130774
13,mediumID,2016,GH,20,25,0.5,0.8,1.0039,0.00400453
13,mediumID,2016,GH,20,25,0.8,1.2,0.999824,0.00856851
13,mediumID,2016,GH,20,25,1.2,1.4,1.00564,0.008001
13,mediumID,2016,GH,20,25,1.4,1.5,1.00472,0.00930585
13,mediumID,2016,GH,20,25,1.5,1.6,1.00381,0.00488424
13,mediumID,2016,GH,20,25,1.6,1.7,1.00171,0.00814382
13,mediumID,2016,GH,20,25,1.7,2,0.99015,0.0114757
